id	opened	updated	status	dating	pairs	domains	ee	mean	cost	title	verdict
H001	2026-08-11	2026-08-11	adopted	self	52		0.2462/query	0.7101	150 q at 0.5 q/s	PIR .org registry creation dates at a paced rate	PIR rate-limits rather than blocks: 1,200+ cumulative queries with zero refusals. 34.7% of queries in window, the best rate measured on this project
H002	2026-08-11	2026-08-11	blocked	typed						CPAN and PAUSE module release metadata with author homepage fields	Body-match associates this with the Linux Software Map, closed at 86 pairs and 37.3 EE because a software author's own homepage is what a CDX-derived baseline holds first. Same population as CPAN author homepages. Needs an argument for why it differs before it earns a request. NOT a measurement, a prior
H003	2026-08-11	2026-08-11	rejected	typed	140	140	88.2	0.63	rsync bulk, 1,327 RFCs + 2,040 drafts, zero IA requests	RFC and Internet-Draft documents with publication dates	Complete RFC population plus a 12.2% seeded draft sample: 3,605 in-window pairs, 3,151 already held, 140 net-new after the split worth 88.2 EE. Whole-source ESTIMATE ~770 pairs / ~500 EE on the linear fit, 6x below the bar, and lower still since the two halves share 24.6% of pairs. Skeptic confirmed the arithmetic and found a parser defect that understates by ~30%, which does not change the answer. KEY FINDING BEYOND THIS SOURCE: the corroboration split does not protect against FICTIONAL hostnames, and this corpus is full of them by editorial habit (acmecorp.com, bigco.com, widgetco.com, john-doe.com); RFC 2606 reserved example.com in 1999 for exactly that reason. Also worth keeping: rsync.ietf.org::id-archive is a 179,052-file flat archive available in one polite transfer, a candidate-pool feeder even though it fails as master evidence
H004	2026-08-11	2026-08-11	rejected	typed	56	56	36.1	0.6452	a handful of live w3.org requests, no IA	W3C technical reports index dated per specification	A census of the whole in-window corpus rather than a sample, so there is nothing to project: 626 in-window technical reports yield 1,225 distinct pairs, 1,078 already held, 56 net-new after the split worth 36.1 EE. The ceiling is the whole source and it is 87x below the bar. Skeptic confirmed per-item dating from the W3C API (each version record carries its own date and a dated URI) and found an extraction bug that moved the post-split number by zero. TRAP WORTH KEEPING: W3C retrofits post-window status banners into archived recommendations, so the page served today is not the artifact that was published, and the first extraction consequently dated github.com to 1999. Any future use of live-served W3C pages as dated artifacts must strip those banners or take a period Wayback capture
H005	2026-08-11	2026-08-11	rejected	typed	21	21	14.4	0.6852	36 index files from archive.debian.org, no IA	Debian package changelogs and upstream homepage fields	803 in-window pairs, 762 already held, 21 net-new after the split worth 14.4 EE. THE HYPOTHESIS'S NAMED MECHANISM DOES NOT EXIST IN WINDOW: grep for a Homepage field returns 0 across all 36 in-window index files, because Homepage entered Debian policy and dpkg around 2007. So any future proposal resting on Debian Homepage fields for 1996-2001 is wrong on its face and can be killed without a fetch. What is left is maintainer addresses and changelog trailers, which is the Linux Software Map population that closed at 86 pairs, and the per-package route projects to about 2 EE for the whole potato release. Skeptic confirmed the reject and found that the two extractions the original called independent both went through the same 13-TLD pattern, so they were not independent; correcting it makes one figure worse
H006	2026-08-11	2026-08-11	blocked	typed						hobbes OS/2 archive dated file index with author URLs	Body-match associates this with the Linux Software Map, closed at 86 pairs and 37.3 EE because a software author's own homepage is what a CDX-derived baseline holds first. Same population as hobbes OS/2 author URLs. Needs an argument for why it differs before it earns a request. NOT a measurement, a prior
H007	2026-08-11	2026-08-11	rejected	typed	19	19	12.7	0.6678	isoc.org 301-redirects to the Wayback Machine, so every request was an IA request; 223 pages	INET conference proceedings 1996 to 2001	460 in-window pairs, 416 already held, 19 net-new after the split worth 12.7 EE. Whole-corpus ESTIMATE on the lowest of three fits is 116 EE for ~750 papers, roughly 40x below the bar. isoc.org no longer serves this content at all: every proceedings path returns 301 to web.archive.org, so the source is IA-only. Skeptic confirmed the direction but found the figures understated by an unrewriting bug that ran before attribute extraction, and disproved the claim that low density is a property of the source. FINDING THAT GENERALISES: the conference BROCHURE pages (programme, committee, schedule) average 6.06 to 6.54 distinct domains per page against 2.43 to 9.93 for paper bodies five times longer, and 9 of the 19 admitted pairs came from brochures rather than papers, because a paper cites famous infrastructure while a programme lists every participating organisation
H008	2026-08-11	2026-08-12	rejected	artifact_listing	0	11299	0.0	0.6616	20 CDX queries plus 19 page fetches, all IA, done politely at 2s	Netcraft monthly web server survey hostname lists	CLOSED candidate-only on 2026-08-12. Ivo approved master conditional on the names being active in the surveyed year; provenance is settled (a machine dump, no author, no per-item date, so the typed classification was simply wrong) and contemporaneity failed. Against a live-in-1999 control and an undated-pool control: earliest archive capture 1999 or earlier 9.4% for netcraft against 10.9% for names with no claim to any year, so no enrichment at all; still registered today 52.2% against 94.3%; continuously registered since 1999 25.0% against 74.7% and a 16.6% base rate. Registry dates cannot settle it either way, since a lapsed and re-registered domain reports the later date, and twelve names created 2003-2026 were each verified as genuinely printed on the archived 1999 page. Forgone: 8,741 pairs and 5,708.4 EE. The 13,078 names remain in the candidate pool and 127 are already dated on their own capture evidence. See key-decisions C-19.
H009	2026-08-11	2026-08-11	rejected	typed	7	7	4.7	0.6654	99 MB ISO, one request	Microsoft Bookshelf Internet Directory 1996 CD-ROM ISO site listing	92.2% of its 2,020 pairs already held; raw overstates 25.9x; 66.9% of net-new names one edit from a held name, so the strings extraction over a 1996 binary is heavily contaminated
H010	2026-08-11	2026-08-11	adopted	self	7837	8892	4763.1808	0.6078	1 request to ICANN, replayable from a saved page	WIPO UDRP domain dispute decisions 1999-2001, disputed name from the structured column	Ingested as master artifact_listing per ADR-002. 87.7% of what it names was absent from the store, the highest share measured on this project. NAF's share remains behind a JavaScript search app
H011	2026-08-15	2026-08-16	rejected	self	936	11418	783.0	0.8365	no requests: already on disk	CA Domain Registry per-registration notices in can.domain	SETTLED 2026-08-16 on the source's own data, and the deciding number was already in the entry. The classification question, self-dating registry record against typed-in-a-dated-artifact, is answered empirically by the typo bound: 375 of 1,500 sampled net-new names, 25.0%, are one edit from a name already held. A registry generating notices about its own namespace cannot produce that. It is the signature of a corpus that reached us as Usenet posts, which is what it is, so the corroboration split applies and the figure is 936 pairs and 783.0 EE, below the ~5,000 pair bar. The 9,551.2 EE self-dating reading is refused on that evidence rather than deferred for a human. Supporting: split-year distribution is 1996:2, 1997:53, 1998:630, 1999:251 and NOTHING in 2000 or 2001, which no live registry feed looks like. The triage entry can_domain_registry_notices stays in the queue at its own potential; this closes the hypothesis, not the source
H012	2026-08-15	2026-08-15	rejected	typed	312	305	195.5	0.6267	4 requests, 9.3 MB, one wake	Bruce Guenter untroubled.org spam archive 1998-2001	Measured and rejected: 312 net-new pairs and 195.5 EE after the split, 16x below the bar. 19,992 in-window messages 1998-2001, each with its own Date header, yield only 5,342 distinct (domain, year) pairs over 4,793 domains, of which 3,203 are already held. MY REASONING FOR PROPOSING IT WAS WRONG AND THE NUMBER SAYS SO: I expected spamvertised domains to be crawler-invisible because email creates no crawlable link, and 67% of them are already in the store. Two further facts worth keeping: spam repeats itself so hard that 20,000 messages name only 0.27 distinct domains each, and the typo bound is 38.7% because spam bodies are deliberately obfuscated, the highest contamination measured on this project
